dtcreate,Berkeley_Berkeley_LHJ,Under_Investigation,Homeless,Address_Unknown,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,Remainder_of_County,San_Leandro,Sunol,Union_City,Eden_Area_MAC,Castro_Valley__MAC,Fairview_MAC,ZC_94501,ZC_94502,ZC_94505,ZC_94514,ZC_94536,ZC_94538,ZC_94539,ZC_94541,ZC_94542,ZC_94544,ZC_94545,ZC_94546,ZC_94550,ZC_94551,ZC_94552,ZC_94555,ZC_94560,ZC_94566,ZC_94568,ZC_94577,ZC_94578,ZC_94579,ZC_94580,ZC_94586,ZC_94587,ZC_94588,ZC_94601,ZC_94602,ZC_94603,ZC_94605,ZC_94606,ZC_94607,ZC_94608,ZC_94609,ZC_94610,ZC_94611,ZC_94612,ZC_94613,ZC_94618,ZC_94619,ZC_94621,ZC_94702,ZC_94703,ZC_94704,ZC_94705,ZC_94706,ZC_94707,ZC_94708,ZC_94709,ZC_94710,ZC_94720,ZC_95377,ZC_95391,GlobalID,OBJECTID
2020/06/23 08:00:00+00,136,28,90,51,59,77,11,45,18,259,910,128,153,2253,13,84,<10,257,<10,178,340,168,63,67,10,0,0,78,108,38,377,35,609,130,128,70,60,18,33,153,49,104,143,170,42,91,<10,178,35,708,71,330,193,177,78,64,18,39,56,27,0,10,160,351,31,45,19,10,14,<10,<10,<10,14,<10,0,0,d108d4c2-e74c-4869-bac1-3d10a3b2e326,118
2020/06/24 08:00:00+00,139,28,90,52,59,80,11,46,18,262,926,131,154,2268,13,87,<10,264,<10,181,343,172,63,70,10,0,0,78,110,38,383,35,617,132,132,72,61,18,34,154,51,105,148,172,42,94,<10,181,36,710,72,332,194,179,79,65,18,39,56,27,0,10,160,356,31,46,20,10,14,<10,<10,<10,14,<10,0,0,50beaeec-4b1d-4c3a-9ea4-8a1468d5c940,119
2020/06/25 08:00:00+00,141,30,90,52,59,85,11,47,18,270,945,146,159,2302,13,99,<10,272,<10,185,348,175,63,75,10,0,0,84,112,38,389,39,627,135,134,81,67,18,34,159,56,106,151,177,43,95,<10,185,43,718,72,335,196,182,84,65,18,39,56,29,0,10,160,366,31,46,21,10,14,<10,<10,<10,15,<10,0,0,083bd17d-6b86-47a9-a338-4f9b69685f7f,120
2020/06/26 08:00:00+00,145,31,91,57,59,85,11,48,18,273,948,149,160,2330,13,100,<10,275,<10,188,352,177,63,75,10,0,0,85,114,38,392,39,629,135,135,83,68,18,34,160,56,107,152,181,43,96,<10,188,44,731,74,338,197,184,85,65,18,40,56,29,0,10,162,369,32,46,21,11,14,<10,<10,<10,15,<10,0,0,4b08c612-650a-478c-beb4-b1578b2c4f3d,121
2020/06/27 08:00:00+00,147,36,93,69,60,88,11,52,20,279,975,154,161,2385,13,104,<10,283,<10,190,361,183,63,77,11,0,0,87,117,38,403,43,646,136,140,86,70,18,35,161,57,112,155,187,44,98,<10,190,47,750,74,343,199,186,93,67,19,41,56,30,0,10,163,384,32,46,22,12,14,<10,<10,<10,15,<10,0,0,bd648695-ee87-4ed5-aecb-eeadd1c02aba,122
2020/06/28 08:00:00+00,149,39,94,78,62,91,11,56,25,291,999,168,162,2450,13,119,<10,294,<10,193,370,190,65,80,11,0,0,98,117,39,414,45,657,142,145,95,75,19,35,162,60,118,160,192,47,102,<10,193,59,776,76,353,204,188,97,75,19,43,57,31,0,10,163,393,32,46,23,12,14,<10,<10,<10,16,<10,0,0,5a240335-118b-4bfe-b1b4-40ace412fa6c,123
2020/06/29 08:00:00+00,154,42,98,80,62,96,13,57,26,303,1013,176,165,2497,14,123,<10,299,<10,195,375,193,66,84,12,0,0,106,120,40,418,50,664,142,147,101,78,20,35,165,61,119,163,196,47,104,<10,195,62,787,77,364,207,192,98,77,22,44,60,32,0,11,163,400,32,46,25,14,16,<10,<10,<10,17,<10,0,0,411763b9-b66c-4ca9-a303-a582fcea5607,124
2020/06/30 08:00:00+00,164,44,98,80,62,96,14,57,27,315,1036,187,166,2554,14,123,<10,310,<10,197,384,195,66,84,12,0,0,109,124,44,433,50,675,145,149,108,82,20,36,166,61,119,169,201,47,107,<10,197,62,802,79,374,213,194,103,80,24,45,60,32,0,11,166,409,32,51,28,15,17,<10,<10,<10,17,<10,0,0,0d92e9e0-7d6f-4145-aa5a-725aa1ab4fac,125
2020/07/01 08:00:00+00,166,46,98,84,62,99,14,59,28,328,1063,195,166,2638,14,125,<10,323,<10,200,390,199,67,87,12,0,0,113,129,48,443,54,683,155,153,110,88,20,36,166,62,121,179,204,48,108,<10,200,63,818,82,389,222,202,108,84,28,45,60,34,0,11,168,426,32,51,29,16,17,<10,<10,<10,17,<10,0,0,1ce19195-a78a-4071-a879-ad68e67d5b94,126
2020/07/02 08:00:00+00,186,50,98,103,62,102,14,66,28,352,1087,203,167,2710,14,126,<10,330,<10,211,400,207,67,90,12,0,0,128,136,49,450,55,698,159,162,114,92,21,36,167,62,128,183,209,50,109,<10,211,64,845,83,400,225,207,109,87,35,46,60,34,0,11,169,438,32,52,45,19,17,<10,<10,<10,17,<10,0,0,cb591566-c554-475c-a7ae-ec0f10bf9bf5,127
